gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025,Age,Draft Year,full_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,33.0,28.0,21.0,2022,Ousmane Dieng
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,2024,Rob Dillingham
12.0,59.0,80.0,68.0,64.0,3.0,67.0,158.0,152.0,49.0,31.0,2014,Spencer Dinwiddie
0.0,0.0,0.0,72.0,61.0,66.0,65.0,0.0,0.0,22.0,25.0,2018,Luka Dončić
0.0,0.0,0.0,0.0,36.0,52.0,51.0,74.0,79.0,46.0,25.0,Undrafted,Luguentz Dort
0.0,0.0,0.0,0.0,0.0,0.0,77.0,80.0,76.0,40.0,25.0,2021,Ayo Dosunmu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,Undrafted,Jeff Dowtin Jr.
0.0,0.0,2.0,6.0,29.0,50.0,18.0,16.0,0.0,9.0,28.0,Undrafted,PJ Dozier
81.0,81.0,78.0,79.0,57.0,46.0,73.0,67.0,79.0,28.0,31.0,2012,Andre Drummond
0.0,0.0,0.0,0.0,0.0,0.0,55.0,46.0,59.0,17.0,27.0,2021,Chris Duarte
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,Undrafted,Alex Ducas
0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,4.0,2.0,25.0,Undrafted,David Duke Jr.
0.0,78.0,52.0,46.0,51.0,4.0,14.0,22.0,66.0,43.0,30.0,2016,Kris Dunn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,2024,Ryan Dunn
72.0,62.0,68.0,78.0,0.0,35.0,55.0,94.0,75.0,39.0,36.0,2007,Kevin Durant
0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,61.0,47.0,21.0,2022,Jalen Duren
0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,22.0,33.0,23.0,2022,Tari Eason
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,22.0,2024,Zach Edey
0.0,0.0,0.0,0.0,0.0,72.0,72.0,79.0,79.0,49.0,23.0,2020,Anthony Edwards
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Jesse Edwards
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,Undrafted,Justin Edwards
0.0,0.0,0.0,0.0,0.0,0.0,48.0,72.0,54.0,21.0,24.0,2021,Kessler Edwards
