Player,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG,Predicted_FPPG,Predicted_FPPG_model2,Predicted_GP,Predicted_GP_model2,7_fppg,30_fppg
Jevon Carter,,2024-25,0,1610612741,CHI,29.0,29,0,7.76,1.28,3.24,0.39,0.83,2.34,0.35,0.28,0.34,0.8,0.07,0.9,0.97,1.03,0.31,0.07,0.31,0.38,3.66,7.66,6.92,10.0,28.0,-28.0,12.5,10.57
Wendell Carter Jr.,,2024-25,0,1610612753,ORL,25.0,50,33,25.44,3.2,6.98,0.46,0.44,2.14,0.21,1.98,2.74,0.72,2.08,5.4,7.48,2.24,0.8,0.48,1.16,2.86,8.82,22.68,22.77,24.99,34.0,33.0,24.0,22.0
Alex Caruso,,2024-25,0,1610612760,OKC,31.0,39,1,18.97,2.31,5.54,0.42,1.1,3.26,0.34,0.36,0.44,0.82,0.74,2.05,2.79,2.62,1.67,0.49,0.62,1.9,6.08,21.59,17.45,28.69,31.0,18.0,15.5,24.73
Justin Champagnie,,2024-25,0,1610612764,WAS,23.0,41,15,18.41,2.85,5.68,0.5,1.0,2.73,0.37,0.78,1.12,0.7,1.54,3.15,4.68,0.88,0.9,0.63,0.85,1.71,7.49,19.05,18.16,15.61,23.0,22.0,29.0,17.0
Brandon Clarke,,2024-25,0,1610612763,MEM,28.0,56,18,18.84,3.62,5.88,0.62,0.02,0.3,0.06,0.84,1.25,0.67,1.96,3.07,5.04,1.02,0.79,0.54,0.62,2.32,8.11,20.2,19.61,24.97,39.0,48.0,28.0,21.64
Jordan Clarkson,,2024-25,0,1610612762,UTA,32.0,32,9,26.62,5.62,13.81,0.41,2.38,6.5,0.36,2.97,3.69,0.8,0.69,2.53,3.22,3.88,0.84,0.25,2.06,1.56,16.59,26.91,26.65,29.22,32.0,17.0,0.0,30.33
Nic Claxton,,2024-25,0,1610612751,BKN,25.0,53,45,26.87,4.43,8.21,0.54,0.02,0.28,0.07,1.26,2.38,0.53,2.21,5.21,7.42,2.08,0.94,1.51,1.25,2.06,10.15,28.6,28.57,38.17,14.0,37.0,28.0,33.73
Amir Coffey,,2024-25,0,1610612746,LAC,27.0,59,13,25.83,3.54,7.47,0.47,1.49,3.64,0.41,1.83,2.02,0.91,0.49,1.93,2.42,1.15,0.58,0.12,0.71,1.8,10.41,17.41,16.76,13.69,39.0,56.0,13.5,17.25
John Collins,,2024-25,0,1610612762,UTA,27.0,38,29,30.47,6.84,12.87,0.53,1.47,3.53,0.42,3.47,4.08,0.85,2.16,6.0,8.16,2.05,0.97,1.05,2.63,2.92,18.63,35.42,34.79,30.31,36.0,63.0,49.0,34.86
Zach Collins,,2024-25,0,1610612759,SAS,27.0,36,4,11.81,1.69,3.67,0.46,0.39,1.28,0.3,0.86,0.97,0.89,1.06,1.75,2.81,1.44,0.39,0.42,0.64,1.94,4.64,12.28,10.8,25.11,33.0,48.0,40.33,32.38
