Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Maxi Kleber,DAL,25.1,2.1,4.6,1.1,3.0,0.7,1.0,0.8,2.8,3.6,1.4,0.3,0.8,0.7,5.9,37,15.7
McKinley Wright IV,DAL,12.4,1.7,3.6,0.3,1.0,0.5,0.7,0.3,1.4,1.7,2.1,0.3,0.2,0.7,4.2,27,10.600000000000001
Meyers Leonard,MIL,12.7,1.6,3.2,0.8,2.0,0.9,1.0,1.3,2.4,3.8,0.1,0.2,0.0,0.7,4.8,9,8.899999999999999
Mfiondu Kabengele,BOS,9.0,0.5,1.8,0.0,0.8,0.5,0.5,1.3,1.3,2.5,0.0,0.5,0.0,0.3,1.5,4,4.6
Micah Potter,UTA,7.4,1.4,2.1,0.6,1.0,0.0,0.0,0.4,1.9,2.3,0.6,0.1,0.0,0.3,3.4,7,8.0
Michael Carter-Williams,ORL,11.0,1.5,3.5,0.3,0.8,1.0,1.8,0.3,1.0,1.3,1.8,0.3,0.3,1.0,4.3,4,8.600000000000001
Michael Foster Jr.,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
Michael Porter Jr.,DEN,29.0,6.4,13.2,3.0,7.3,1.5,1.9,1.0,4.5,5.5,1.0,0.6,0.5,1.1,17.4,62,29.3
Mikal Bridges,TOT,35.43333333333334,7.433333333333334,15.833333333333334,2.1,5.566666666666666,4.166666666666667,4.666666666666667,0.9666666666666667,3.4333333333333336,4.3999999999999995,3.1999999999999997,1.0999999999999999,0.7000000000000001,1.5666666666666667,21.133333333333336,166,36.63333333333334
Mike Conley,TOT,30.46666666666667,4.0,9.200000000000001,2.066666666666667,5.333333333333333,2.1666666666666665,2.566666666666667,0.5333333333333333,2.266666666666667,2.766666666666667,6.466666666666666,1.0999999999999999,0.20000000000000004,1.4666666666666668,12.200000000000001,134,30.633333333333333
