Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Bobi Klintman,DET,3,2.67,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.67,0.67,0.33,0.0,0.0,0.0,0.0
Dalton Knecht,LAL,47,20.7,3.36,7.32,1.6,4.49,1.0,1.21,0.51,2.53,3.04,0.87,0.34,0.06,0.51,9.32
Tyler Kolek,NYK,28,5.21,0.64,1.68,0.39,1.0,0.21,0.21,0.07,0.46,0.54,0.79,0.25,0.04,0.32,1.89
Christian Koloko,LAL,27,8.67,0.93,1.48,0.0,0.07,0.19,0.22,0.96,1.19,2.15,0.44,0.26,0.3,0.26,2.04
John Konchar,MEM,25,14.16,1.04,2.56,0.56,1.8,0.2,0.24,1.04,2.96,4.0,1.04,0.56,0.44,0.4,2.84
Luke Kornet,BOS,44,16.89,2.05,3.18,0.0,0.0,1.02,1.34,2.2,2.77,4.98,1.45,0.5,0.95,0.43,5.11
Vít Krejčí,ATL,34,20.09,2.29,5.35,1.29,3.56,0.56,0.79,0.38,1.94,2.32,2.56,0.74,0.47,0.88,6.44
Jonathan Kuminga,GSW,32,26.0,6.06,13.22,1.25,3.62,3.38,5.28,1.38,3.59,4.97,2.19,0.91,0.56,1.56,16.75
Kyle Kuzma,WAS,31,27.61,5.9,14.0,1.35,4.74,1.81,3.06,0.84,5.0,5.84,2.48,0.61,0.23,2.29,14.97
Jake LaRavia,MEM,45,21.18,2.58,5.24,0.87,1.96,1.47,2.04,1.42,2.98,4.4,2.89,0.89,0.42,1.53,7.49
Zach LaVine,CHI,42,34.1,8.64,16.9,3.24,7.26,3.45,4.33,0.29,4.52,4.81,4.5,0.93,0.24,2.88,23.98
Jock Landale,HOU,24,9.75,1.21,2.83,0.17,0.33,0.67,1.08,1.29,1.5,2.79,0.88,0.21,0.33,0.46,3.25
Pelle Larsson,MIA,31,12.58,1.42,3.1,0.45,1.48,0.65,1.0,0.42,1.03,1.45,0.94,0.45,0.06,0.39,3.94
Caris LeVert,CLE,36,24.08,3.75,7.92,1.67,3.94,1.61,2.31,0.56,2.28,2.83,3.81,0.89,0.53,1.31,10.78
Damion Lee,PHX,12,5.75,1.0,3.0,0.25,1.58,0.92,0.92,0.08,0.75,0.83,0.58,0.33,0.0,0.42,3.17
Alex Len,SAC,35,7.29,0.63,1.17,0.03,0.17,0.2,0.37,0.71,1.11,1.83,0.86,0.23,0.51,0.31,1.49
Kawhi Leonard,LAC,11,24.45,6.73,14.18,1.55,4.55,1.36,1.91,0.73,3.73,4.45,2.45,1.0,0.27,1.73,16.36
Malevy Leons,OKC,6,3.5,0.0,0.33,0.0,0.17,0.33,0.67,0.17,0.33,0.5,0.17,0.0,0.0,0.17,0.33
Maxwell Lewis,LAL,7,4.14,0.29,0.86,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.14,0.0,0.29,0.57
E.J. Liddell,CHI,6,5.17,0.83,1.33,0.5,1.0,0.33,0.33,0.17,0.67,0.83,0.5,0.17,0.17,0.33,2.5
Damian Lillard,MIL,40,36.45,7.7,17.27,3.38,8.88,6.22,6.75,0.53,4.05,4.58,7.33,1.18,0.23,2.83,25.0
Dereck Lively II,DAL,32,24.0,3.88,5.53,0.0,0.0,1.38,2.16,3.09,4.75,7.84,2.62,0.53,1.69,1.22,9.12
Chris Livingston,MIL,10,2.9,0.1,0.3,0.0,0.0,0.2,0.2,0.5,0.8,1.3,0.1,0.2,0.0,0.3,0.4
Kevon Looney,GSW,42,16.21,2.26,4.26,0.0,0.05,0.71,1.43,2.79,3.95,6.74,1.74,0.74,0.43,0.55,5.24
Brook Lopez,MIL,47,32.13,4.57,9.64,1.87,5.13,1.06,1.34,1.13,3.6,4.72,1.74,0.74,1.96,1.0,12.09
Kevin Love,MIA,18,11.11,1.94,5.5,1.17,3.22,0.72,1.06,0.94,3.22,4.17,1.06,0.78,0.11,0.72,5.78
Kyle Lowry,PHI,30,19.63,1.27,3.5,0.93,2.67,0.8,0.97,0.33,1.67,2.0,2.83,1.03,0.3,0.67,4.27
Trey Lyles,SAC,38,19.79,2.24,5.63,1.29,3.84,0.82,1.11,1.13,3.61,4.74,0.92,0.58,0.45,0.61,6.58
Sandro Mamukelashvili,SAS,30,8.47,1.63,2.97,0.7,1.73,0.6,0.83,0.67,1.83,2.5,0.5,0.23,0.27,0.43,4.57
Terance Mann,LAC,36,20.0,2.42,5.31,0.72,2.03,0.64,0.89,0.89,2.06,2.94,1.61,0.75,0.31,0.69,6.19
Tre Mann,CHA,13,24.54,5.38,12.38,1.85,4.62,1.46,1.62,0.92,2.0,2.92,3.0,0.54,0.31,1.92,14.08
Lauri Markkanen,UTA,36,31.83,6.25,14.78,3.0,8.61,3.86,4.44,1.67,4.5,6.17,1.72,0.75,0.42,1.42,19.36
Naji Marshall,DAL,37,24.32,4.27,8.59,0.86,2.81,1.32,1.51,0.86,2.7,3.57,2.49,0.92,0.11,1.41,10.73
Caleb Martin,PHI,31,30.42,3.26,7.48,1.06,2.81,1.48,2.39,1.39,3.0,4.39,2.23,1.1,0.65,1.39,9.06
Cody Martin,CHA,39,24.79,2.97,6.87,1.03,3.18,0.87,1.26,1.03,3.49,4.51,2.28,1.1,0.67,1.08,7.85
Jaylen Martin,BKN,3,1.67,0.33,0.67,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KJ Martin,PHI,24,20.0,2.54,4.12,0.33,0.88,1.0,1.21,0.88,2.12,3.0,0.79,0.46,0.67,0.5,6.42
Tyrese Martin,BKN,31,21.32,3.0,7.52,1.58,4.48,0.55,0.84,1.1,2.81,3.9,1.77,0.42,0.16,1.26,8.13
Garrison Mathews,ATL,40,18.45,2.27,5.65,1.93,4.83,1.5,1.82,0.33,1.52,1.85,1.38,0.62,0.28,0.7,7.97
Bennedict Mathurin,IND,45,31.96,5.82,12.31,1.51,4.22,3.27,3.96,1.22,4.6,5.82,1.84,0.64,0.38,2.02,16.42
Karlo Matković,NOP,11,8.27,0.73,1.64,0.09,0.27,0.0,0.0,0.82,1.36,2.18,0.36,0.55,0.73,0.73,1.55
Tyrese Maxey,PHI,41,37.95,9.56,21.63,3.34,9.59,5.2,5.95,0.24,3.2,3.44,6.05,1.88,0.41,2.46,27.66
Miles McBride,NYK,39,23.28,3.36,7.95,1.74,4.69,0.87,1.05,0.82,1.67,2.49,2.82,0.82,0.18,0.72,9.33
Jared McCain,PHI,23,25.74,5.48,11.91,2.22,5.78,2.13,2.43,0.57,1.87,2.43,2.61,0.65,0.0,1.61,15.3
Mac McClung,ORL,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
CJ McCollum,NOP,36,33.47,8.25,18.42,3.03,8.25,2.33,3.33,0.69,2.92,3.61,3.81,0.81,0.53,1.67,21.86
T.J. McConnell,IND,46,18.8,4.54,8.61,0.15,0.59,0.74,1.0,0.57,2.04,2.61,4.46,1.2,0.28,1.52,9.98
Jaden McDaniels,MIN,49,31.27,4.18,9.06,1.29,3.76,1.06,1.35,1.45,3.9,5.35,1.65,1.49,0.84,1.06,10.71
Bryce McGowens,POR,8,2.62,0.5,0.88,0.0,0.25,0.62,0.75,0.12,0.0,0.12,0.12,0.12,0.0,0.38,1.62
Jordan McLaughlin,SAC,28,6.79,0.57,1.57,0.36,0.93,0.39,0.57,0.14,0.61,0.75,0.86,0.39,0.0,0.39,1.89
Jack McVeigh,HOU,6,3.5,0.5,1.83,0.33,1.33,0.0,0.0,0.17,0.5,0.67,0.17,0.0,0.17,0.17,1.33
De'Anthony Melton,GSW,6,20.17,3.67,9.0,2.17,5.83,0.83,1.33,1.0,2.33,3.33,2.83,1.17,0.33,1.67,10.33
Sam Merrill,CLE,41,18.59,2.34,6.05,1.83,5.22,0.54,0.56,0.49,1.41,1.9,1.63,0.56,0.2,0.46,7.05
Vasilije Micić,CHA,35,21.03,2.6,7.4,1.2,3.46,0.91,1.11,0.57,1.83,2.4,3.49,0.43,0.0,2.11,7.31
Khris Middleton,MIL,23,23.22,4.7,9.17,1.52,3.74,1.7,2.0,0.22,3.48,3.7,4.43,0.74,0.22,1.61,12.61
Brandon Miller,CHA,27,34.22,7.33,18.19,3.85,10.85,2.52,2.93,0.93,3.93,4.85,3.63,1.07,0.74,2.81,21.04
Jordan Miller,LAC,29,12.76,1.86,4.34,0.28,1.24,0.9,1.14,0.76,1.03,1.79,1.07,0.52,0.17,0.76,4.9
Leonard Miller,MIN,5,3.0,0.2,1.4,0.0,0.6,1.2,1.2,0.6,1.0,1.6,0.0,0.2,0.0,0.4,1.6
Patty Mills,UTA,17,15.29,1.53,4.47,1.0,3.35,0.29,0.29,0.18,1.06,1.24,1.24,0.71,0.18,0.94,4.35
